Text,Author,Likes,Date
Like si te gusto el look 4 tan hermoso❤️‍🩹💋,🧸•𝐎𝐧𝐥𝐲𝐛𝐥𝐢𝐧𝐤𝐬_𝐯𝐤•🧸,7,2023-07-24T02:23:01Z
❤❤❤❤❤❤❤❤❤❤,S_san,0,2023-07-24T00:01:15Z
Love you Jennie,hello,0,2023-07-24T11:31:51Z
Sayangggg,Zahra Awalia,1,2023-07-23T21:25:09Z
눈마사지까지 해주다니...대단해.,올드보이TV - OLDBOY TV,1,2023-07-23T21:12:47Z
aww,jupiter,0,2023-07-23T15:51:30Z
제니 사랑해❤,Brassy,2,2023-07-23T13:38:35Z
Jennie it does not matter how kuch u are hated but real blinks know u are the best,Ambala City,0,2023-07-23T06:45:07Z
love you Jennie,Nini,1,2023-07-23T03:57:51Z
jennie ı love you you are so perfect and preety  angel without wings ❤❤❤❤❤❤❤❤❤,------»  rubryjen »------,1,2023-07-22T20:03:39Z
Angel on the planet,hello,0,2023-07-24T11:32:47Z
너무 스윗해 왜이래 속옷 입은 사진 찍게 해줘 제니 나비 전과 많이 달라졌네요 제니 좋네요,ザーラ,0,2023-07-22T16:55:44Z
JENNIE IS LITERALLY THE BEST IN THE WORLD,Camila Estefani,1,2023-07-22T14:30:55Z
🤢💩🤢🤢🤢🤢🖕🏻🤮🤮🤮🤮🤮🖕🏻🤢💩💩💩🤢🤢🖕🏻🖕🏻🤮🤮🤮🤮🤮🤮🤮🤮💩🖕🏻🖕🏻🦍💨💨💨💨💨,BePe Anti,0,2023-07-22T13:11:13Z
Yüzün 👉 🐶,Wilhelmina Palma,1,2023-07-23T18:53:13Z
Jennie you amazing I'm your Armeninan Fan🇦🇲🇦🇲🇦🇲🇦🇲❤❤❤❤❤❤,_jenlischaesoo_bp,0,2023-07-22T11:33:19Z
Amazing  Jennie,hello,0,2023-07-24T11:33:17Z
Jennie ❤❤❤❤ we love you ❤,BABITA SINGH,0,2023-07-22T07:57:58Z
Sweet girl,hello,0,2023-07-24T11:33:28Z
Sigue haciendo vlogs,puppyechan,1,2023-07-22T05:28:18Z
Te amo mucho,puppyechan,1,2023-07-22T05:28:01Z
I love you jennie❤🎉,Luna  Aurelia,0,2023-07-22T04:58:20Z
"Lovely girl, we are always there for you",VSV,1,2023-07-22T01:45:11Z
You are very special to me,VSV,1,2023-07-22T01:44:51Z
We love you Jennie,VSV,0,2023-07-22T01:44:34Z
What were they hiding in 4:23 ?🤔,Alexandra Franchesca Oburu Nchama,0,2023-07-21T18:21:44Z
"I love your voice,  its so cute",hello,0,2023-07-21T17:26:11Z
"I am falling in love more and more with your cuteness, sweetness and kindness day by day",hello,0,2023-07-21T17:25:57Z
"Your name ""Jennie Ruby Jane"" is so beautiful, unique and cool",hello,0,2023-07-21T17:24:55Z
Oh that dog dali at 5:38 is so cute,hello,0,2023-07-21T17:24:06Z
You are beautiful being both from inside as well as outside.  May God bless you Jennie always,hello,0,2023-07-21T17:22:40Z
I love your vlogs so much.They are all well made and edited.,hello,0,2023-07-21T17:22:19Z
Your whole collections is phenomenal,hello,0,2023-07-21T17:21:24Z
You are absolutely gorgeous,hello,0,2023-07-21T17:20:55Z
Hello pretty lady,hello,0,2023-07-21T17:20:42Z
Reur,laisa_manoban,0,2023-07-21T17:12:10Z
Jennie unnie i am a 11 year old blink and I will always support if your haters would say anything or get hate comments just remember you have me,Poonam Sharma,0,2023-07-21T17:12:01Z
Thank you so much Jennie unnie ❤️❤️,Poonam Sharma,0,2023-07-22T01:59:27Z
Thank you for supporting Jennie.,hello,0,2023-07-21T17:18:48Z
And if you like my comment please send me just a one message please,Poonam Sharma,0,2023-07-21T17:12:43Z
Stream SOLO ❤,Avani Pal,1,2023-07-21T14:12:34Z
Thats my bias yall!,♛BLINK♛,2,2023-07-21T13:25:46Z
I love you Nini 😍,Sadia Rubyjane,0,2023-07-21T11:38:46Z
You are so pretty and cute ❤,Aloui Nadia,0,2023-07-21T11:03:38Z
2:35,Pink,0,2023-07-21T05:31:27Z
What?,hello,0,2023-07-21T17:19:45Z
Jennie te amoo.😻Jennie love you.💕,Camila gonzalez,1,2023-07-21T05:27:51Z
So cute and sexy at the same time. I love you so much. ❤😘,Ernando Castro,0,2023-07-21T03:53:15Z
So beautiful Jenniee ❤❤❤,Jessi 💫,0,2023-07-21T03:43:52Z
"My beautiful Jennie, don't let the hate turn off that beautiful smile and those beautiful eyes that you have, my beautiful girl, I love you, we love you, let the haters talk trash, you take it as things that do not matter to you, because they will NEVER be at your level, beautiful. 😻😻💗💗💗💗💗💗💗💗💗💗",Iamferv ×ˣ,1,2023-07-21T01:37:14Z
We love you Jennie,hello,1,2023-07-21T17:20:03Z
Blinks are so naughty 🌝,Milan Kumar,0,2023-07-20T21:10:01Z
in love,eman :3,0,2023-07-20T20:11:07Z
I LOVE YOU JENNIE,☆𝐒𝐭𝐚𝐫_𝐉𝐞𝐧𝐧𝐢𝐞☆,0,2023-07-20T18:00:28Z
당신은 나의 제니 바이어스 항상 당신을 지원할 것입니다 당신을 너무 사랑합니다 💞,nayeonx.0,0,2023-07-20T17:35:58Z
"I wish everybody would start treat this nice woman with more respect, kindness and for real stop judging every move idols do",Donald Liden,1,2023-07-20T16:45:03Z
❤Jennie we love you❤🎉,Black pink,0,2023-07-20T16:43:42Z
Pretty,hello,0,2023-07-24T11:34:00Z
Jennie plz read this don’t worry about haters we are here for you ❤❤❤🎉we will always support you plz Jennie you are the best in every thing you deserve whole world 🌍 haters should be hated for no reason no to you hates are🤬😡🤮🤮🤮🤮🤮🤢🤢🤢🤢🤢💀💩💩💩💩💩 I hope they deserve what they did to you plz Jennie read this,Pranish Sharma,1,2023-07-20T16:01:44Z
K   I   M                                    J   E   N  N   I   E,park rose,0,2023-07-20T15:20:52Z
i loveeeeeeeeee jennie 😘😘😘😘,park rose,0,2023-07-20T15:20:22Z
Keep smiling my sweetheart,Unknown Admirer,0,2023-07-20T14:05:25Z
We love you Jennie,Unknown Admirer,1,2023-07-20T14:05:03Z
Beautiful girl with a beautiful smile.,Unknown Admirer,1,2023-07-20T14:04:48Z
Dear you are licensed to drive me crazy with those sparkling looks.,Unknown Admirer,1,2023-07-20T14:04:25Z
Gorgeous and glamorous Queen,Unknown Admirer,1,2023-07-20T14:04:02Z
I love that you know how beautiful you are and still try to be good to everyone. The universe needs more people like you.,Unknown Admirer,1,2023-07-20T14:03:20Z
You are outstanding. You are stunning. You are adorable my love.,Unknown Admirer,0,2023-07-20T14:03:08Z
Can't take my eyes off you. Why are you so stunning?,Unknown Admirer,0,2023-07-20T14:02:39Z
Thanks for posting your cute vlogs. They spread positivity.,Unknown Admirer,0,2023-07-20T14:02:25Z
